"Student_ID","Gender","Hours_Studied","Previous_Score","Final_Score"
1,"Male",3.5,64,82
2,"Male",5.4,68,100
3,"Male",3.4,55,81
4,"Female",3.7,33,67
5,"Male",5.7,49,92
6,"Female",3.8,47,81
7,"Female",4.5,54,77
8,"Female",6,56,82
9,"Male",2.7,70,80
10,"Male",6.9,46,90
11,"Female",7.6,54,100
12,"Female",5.4,53,88
13,"Female",5.1,74,100
14,"Male",3.8,45,86
15,"Female",5.2,45,87
16,"Male",3.7,70,81
17,"Female",4.9,60,80
18,"Male",3.5,54,76
19,"Male",5.7,53,83
20,"Male",5.5,34,87
21,"Male",6.4,63,93
22,"Female",7.5,59,100
23,"Male",3.5,71,87
24,"Male",5.9,55,96
25,"Male",2.4,70,83
26,"Male",3.8,63,82
27,"Female",5.9,67,95
28,"Female",3.4,42,72
29,"Male",5,70,92
30,"Female",3.1,68,73
31,"Male",3.9,73,79
32,"Female",4.4,59,87
33,"Male",3.6,49,78
34,"Female",1.6,59,72
35,"Female",4.9,68,84
36,"Male",5.2,69,93
37,"Male",4.7,73,100
38,"Male",3.8,59,88
39,"Male",5.9,76,95
40,"Female",6.1,52,86
41,"Male",0.9,33,67
42,"Female",6.2,62,96
43,"Female",1.8,60,69
44,"Male",4,47,71
45,"Male",2.8,61,75
46,"Male",3.6,48,72
47,"Male",6.5,52,85
48,"Female",5.3,74,97
49,"Male",5.2,29,83
50,"Male",1.4,63,74
51,"Female",4.8,55,87
52,"Male",5.4,54,84
53,"Male",5.8,61,94
54,"Male",3,55,80
55,"Male",5.9,55,92
56,"Female",2.4,46,81
57,"Female",7.1,76,100
58,"Male",3.3,69,85
59,"Female",5.6,47,78
60,"Male",5,57,100
61,"Male",2.9,67,76
62,"Female",6.2,54,86
63,"Female",4.6,60,81
64,"Male",5.7,61,93
65,"Male",4.8,76,87
66,"Female",5.8,52,87
67,"Male",4.5,68,89
68,"Male",6.2,54,91
69,"Male",4,57,82
70,"Male",5.3,60,85
71,"Female",5.1,63,87
72,"Male",5.8,61,90
73,"Male",3.6,55,88
74,"Male",4.8,60,85
75,"Male",3.6,63,79
76,"Female",5.9,64,97
77,"Female",3.5,47,81
78,"Male",7.1,58,98
